player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Terrell Suggs,1326,ED,KC,18,8,1.5,0,0,16,29.1,62.2,30.8,65.6,73.0,28.0,26.7,12,6,239,250,8.4,20,25
Mike Adams,1972,S,HST,5,0,1.0,0,0,13,66.9,73.1,82.4,,78.8,85.0,0.0,0,0,45,46,6.7,3,3
Thomas Davis Sr.,2231,LB,LAC,16,18,3.4,0,0,27,55.7,61.7,33.9,71.5,67.4,47.9,11.8,8,3,368,384,5.7,21,42
Lorenzo Alexander,2476,ED,BUF,16,6,4.2,0,0,4,66.3,64.3,67.3,68.4,52.7,65.1,10.0,3,1,191,201,4.2,8,21
Johnathan Joseph,2969,CB,HST,14,0,14.3,2,0,13,65.0,64.0,86.0,75.9,48.7,37.2,50.0,4,3,203,208,0.0,0,4
Domata Peko Sr.,3068,DI,BLT,8,3,2.7,0,0,3,61.7,58.7,45.1,55.4,61.8,36.2,6.7,1,1,91,91,7.7,7,11
Antoine Bethea,3152,S,NYG,16,13,10.4,0,0,21,62.4,69.3,86.8,63.1,81.2,70.3,7.4,4,1,439,450,2.5,11,37
Tramon Williams,3558,CB,GB,18,5,9.0,0,0,12,78.0,71.7,36.2,54.3,45.4,69.6,23.1,3,5,267,273,0.4,1,5
Eric Weddle,3653,S,LA,16,11,6.3,1,0,26,70.5,69.0,66.8,73.0,63.4,79.7,10.4,5,2,400,411,2.8,11,32
Brandon Mebane,3701,DI,LAC,13,4,3.1,0,0,27,60.1,48.7,72.8,48.2,51.7,45.2,9.5,2,1,188,200,4.8,9,15
Dominique Rodgers-Cromartie,4330,CB,WAS,2,0,13.5,0,0,32,41.5,42.6,77.7,,51.3,32.2,33.3,1,0,27,29,0.0,0,2
