player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Travis Etienne,57185,HB,JAX,19,251,64,18,38.3,495,0,1291,3,2,64,780,70.7,30,61,15,5,117,52.7,76.7,90.7,,45.6,56.7,82.9,56.2,62,0,346,39,369,292,0,0,47,290,6,1291,780,3.11,5.1,0.94,122
Joe Mixon,11803,HB,CIN,17,249,26,7,17.6,172,0,978,5,12,26,651,31.3,21,58,7,0,144,91.3,80.8,90.3,,34.9,77.0,80.9,56.9,40,1,491,68,335,295,0,0,79,317,8,978,651,2.61,3.9,1.47,97
Kenneth Walker III,97199,HB,SEA,16,243,50,17,43.2,481,0,1113,1,9,50,748,67.0,29,55,29,0,70,91.1,76.9,87.9,,29.5,54.6,84.8,33.8,74,1,168,28,268,277,0,0,35,271,10,1113,748,3.08,4.6,0.63,159
Alvin Kamara,11822,HB,NO,15,223,34,6,13.4,120,0,897,5,15,34,606,47.6,20,40,20,4,77,49.9,72.7,88.6,,20.2,65.4,77.7,62.4,27,0,490,57,295,285,0,0,71,280,2,897,606,2.72,4.0,1.66,133
Dameon Pierce,83659,HB,HST,13,220,62,9,29.6,278,1,939,4,13,62,722,98.5,22,54,13,4,107,46.0,78.9,49.8,,32.3,55.4,84.8,46.2,75,1,165,30,192,246,0,0,36,250,4,939,722,3.28,4.3,0.86,108
Austin Ekeler,12164,HB,LAC,18,217,44,7,24.5,233,1,950,5,28,44,633,64.4,23,47,27,5,89,48.5,80.0,65.0,,29.9,79.8,82.6,59.6,72,1,717,109,462,244,0,0,126,326,15,950,633,2.92,4.4,1.55,114
Tony Pollard,27126,HB,DAL,18,214,51,19,43.0,476,0,1106,1,3,51,805,78.7,35,49,9,0,103,91.0,90.2,89.3,,74.9,76.0,90.0,58.4,57,0,394,44,271,279,0,0,56,258,9,1106,805,3.76,5.2,1.45,100
Aaron Jones,11937,HB,GB,17,214,53,12,24.9,280,0,1125,6,8,53,684,71.4,31,52,12,5,71,37.4,86.1,91.7,,50.6,64.6,90.7,60.2,36,0,395,59,316,259,0,0,72,273,2,1125,684,3.2,5.3,1.25,140
Tyler Allgeier,83639,HB,ATL,16,210,51,13,30.5,316,0,1035,0,5,51,752,88.7,21,53,2,0,39,90.8,86.7,85.1,,56.7,61.6,88.0,51.9,44,0,139,16,177,251,0,0,17,226,3,1035,752,3.58,4.9,0.79,170
Rhamondre Stevenson,98689,HB,NE,17,210,40,16,36.1,376,0,1041,5,21,40,801,83.4,30,49,19,4,107,50.3,81.3,90.0,,64.8,68.0,84.3,49.0,49,0,421,69,339,251,0,0,87,279,5,1041,801,3.81,5.0,1.24,82
Isiah Pacheco,83747,HB,KC,20,207,25,10,22.6,232,0,1027,0,7,25,653,44.7,20,45,16,3,71,48.7,76.2,88.0,,30.6,74.3,74.2,60.1,39,0,195,19,194,218,0,0,20,226,6,1027,653,3.15,5.0,1.01,133
Brian Robinson Jr.,57120,HB,WAS,12,205,32,6,13.9,111,0,797,1,3,32,552,44.0,18,48,32,2,98,71.6,82.5,84.6,,46.9,65.2,81.0,45.2,24,0,60,9,83,239,0,0,12,214,2,797,552,2.69,3.9,0.72,101
D'Onta Foreman,11844,HB,CAR,17,203,34,12,33.2,303,1,913,0,2,34,661,56.4,21,45,5,1,109,80.2,73.1,17.0,,14.8,52.4,76.5,59.1,60,1,26,5,112,222,0,0,8,208,5,913,661,3.26,4.5,0.23,91
Jalen Hurts,40291,QB,PHI,18,154,32,5,13.2,119,0,529,0,0,17,228,16.3,31,85,24,12,28,66.7,88.2,52.1,83.8,,,83.8,60.0,42,6,0,0,0,562,372,48,0,154,18,901,415,2.05,4.5,,39
David Montgomery,45719,HB,CHI,16,201,46,3,8.9,71,0,801,1,10,46,582,69.0,17,42,6,2,77,69.0,67.9,90.3,,57.4,64.0,67.9,59.8,28,0,316,34,270,288,0,0,39,235,5,801,582,2.9,4.0,1.17,122
Leonard Fournette,11759,HB,TB,17,194,15,3,8.4,57,0,680,4,21,15,445,30.8,14,40,30,0,128,90.9,66.5,62.6,34.2,27.5,78.0,67.6,46.8,23,1,529,74,418,219,0,0,80,268,3,680,445,2.29,3.5,1.27,61
Devin Singletary,40485,HB,BUF,18,193,36,13,30.0,268,0,892,4,8,36,564,54.5,22,48,4,3,117,55.3,78.6,90.8,,73.2,58.5,85.1,65.3,33,0,317,43,419,256,0,0,53,236,5,892,564,2.92,4.6,0.76,69
Jonathan Taylor,57488,HB,IND,11,192,42,7,23.1,199,0,861,2,6,42,592,67.3,21,39,14,3,73,53.6,67.6,88.0,,28.5,57.7,71.5,58.3,66,0,143,28,256,215,0,0,34,220,4,861,592,3.08,4.5,0.56,114
Cam Akers,57206,HB,LA,15,188,36,7,20.4,160,0,786,0,5,36,523,56.7,17,39,26,2,99,64.2,80.7,83.2,,73.9,61.5,80.4,58.1,42,0,117,13,165,219,0,0,17,201,7,786,523,2.78,4.2,0.71,88
Jeff Wilson Jr.,29413,HB,MIA,17,186,28,13,34.0,300,0,882,2,5,28,480,40.7,24,43,17,3,72,51.9,65.7,59.8,,40.9,48.4,74.4,45.6,41,1,198,23,275,235,0,0,40,209,6,882,480,2.58,4.7,0.72,110
A.J. Dillon,57165,HB,GB,17,185,23,6,15.6,120,0,769,5,4,23,536,36.7,15,47,12,1,72,79.5,81.4,90.4,,70.3,50.6,88.1,69.3,27,0,206,28,252,222,0,0,39,213,7,769,536,2.9,4.2,0.82,110
James Conner,11860,HB,ARZ,13,183,30,6,14.8,116,0,782,6,17,30,515,57.8,15,48,1,3,89,54.4,69.7,62.7,,73.8,51.4,76.1,54.9,23,1,301,46,332,232,0,0,56,229,7,782,515,2.81,4.3,0.91,84
Raheem Mostert,9783,HB,MIA,16,181,39,9,25.7,229,0,892,2,12,39,637,84.7,27,44,17,1,61,82.6,75.7,89.2,,54.1,60.8,80.7,39.2,67,0,202,31,294,213,0,0,39,212,3,892,637,3.52,4.9,0.69,114
Latavius Murray,7962,HB,DEN,13,171,24,7,25.4,189,0,745,0,4,24,434,35.9,16,44,10,1,63,90.5,82.5,47.6,,43.6,65.6,86.0,55.0,52,1,132,27,191,200,0,0,31,198,6,745,434,2.54,4.4,0.69,105
Justin Fields,82118,QB,CHI,15,89,38,7,16.8,192,3,422,0,0,9,132,15.0,33,65,6,17,26,28.8,70.2,64.9,54.4,,55.3,91.5,60.4,67,7,0,0,2,440,721,70,0,89,8,1143,728,4.58,7.2,0.0,35
Antonio Gibson,78050,HB,WAS,15,149,13,3,10.3,56,0,546,3,12,13,379,32.6,11,32,32,1,51,80.0,76.3,88.5,,75.1,80.5,70.9,57.2,20,0,353,46,238,194,0,0,57,195,3,546,379,2.54,3.7,1.48,93
Daniel Jones,39395,QB,NYG,18,79,12,5,11.7,94,0,302,0,0,0,97,0.0,31,66,21,7,14,50.8,75.8,40.0,70.0,,57.7,84.4,61.3,25,8,0,0,2,467,503,65,0,79,7,805,368,2.56,5.6,0.0,26
Cordarrelle Patterson,7810,HB,ATL,13,144,23,10,29.5,205,0,695,1,4,23,438,49.8,18,40,2,1,29,76.5,81.0,85.0,,59.5,65.6,83.5,51.0,40,0,122,21,170,177,0,0,31,165,8,695,438,3.04,4.8,0.72,114
Rachaad White,131633,HB,TB,18,136,16,4,19.3,100,0,519,2,12,16,325,35.2,9,30,30,2,95,49.3,68.2,89.9,,48.9,71.6,66.5,68.6,35,0,326,54,291,164,0,0,60,190,1,519,325,2.39,3.8,1.12,37
Josh Allen,46601,QB,BUF,18,73,27,3,11.9,96,0,249,0,0,13,149,36.3,27,59,4,16,18,43.5,91.8,80.2,85.8,,,92.8,60.0,44,2,0,0,0,400,559,63,0,73,8,808,430,3.16,5.9,,8
Khalil Herbert,41668,HB,CHI,13,129,29,7,31.1,228,0,732,2,2,29,474,82.5,22,26,6,0,56,90.0,72.5,85.6,,54.4,46.5,77.1,55.2,64,0,57,9,107,156,0,0,11,138,4,732,474,3.67,5.7,0.53,72
Kareem Hunt,11841,HB,CLV,17,123,22,5,19.4,91,0,468,2,12,22,358,62.6,14,30,8,1,71,73.7,67.0,90.4,,54.6,66.4,67.4,51.6,24,1,210,35,254,157,0,0,41,158,3,468,358,2.91,3.8,0.83,44
Michael Carter,57337,HB,NYJ,16,114,26,6,30.6,123,0,402,1,5,26,308,54.0,7,14,22,2,44,72.7,61.3,59.3,,30.2,65.4,62.7,59.4,25,1,288,41,267,164,0,0,47,155,3,402,308,2.7,3.5,1.08,66
Lamar Jackson,46416,QB,BLT,12,86,34,10,35.4,271,1,559,0,0,24,246,79.8,31,47,3,6,63,56.6,85.2,73.5,72.3,,,92.6,60.1,79,7,0,0,0,327,206,25,0,86,3,765,406,3.66,6.9,,6
James Robinson,22425,HB,NYJ,11,110,12,5,34.1,145,0,425,0,1,12,268,26.2,9,21,22,1,46,68.6,59.7,85.5,,81.5,57.5,59.7,46.4,50,0,51,11,106,138,0,0,13,121,3,425,268,2.44,3.9,0.48,61
Samaje Perine,11869,HB,CIN,19,109,16,1,6.4,29,0,452,2,13,16,335,57.5,6,26,7,0,65,89.9,72.9,89.6,,73.8,62.7,77.2,55.5,29,0,322,46,308,158,0,0,57,155,3,452,335,3.07,4.1,1.05,39
Kenyan Drake,10707,HB,BLT,12,109,8,8,41.7,201,0,482,5,1,8,295,19.3,11,21,3,1,77,69.3,53.1,85.6,,45.1,46.2,59.7,41.5,40,0,89,17,162,156,0,0,24,126,4,482,295,2.71,4.4,0.55,30
Damien Harris,35134,HB,NE,11,106,10,4,18.8,87,0,463,2,4,10,323,34.7,11,23,19,0,57,88.6,75.8,83.4,,69.2,55.7,77.9,59.8,30,0,97,17,96,117,0,0,22,123,3,463,323,3.05,4.4,1.01,47
James Cook,83666,HB,BUF,18,106,22,11,44.1,247,0,560,2,4,22,303,58.5,14,26,4,1,48,68.5,73.2,35.8,,26.9,68.3,76.8,52.2,33,1,180,21,148,139,0,0,33,127,3,560,303,2.86,5.3,1.22,49
J.K. Dobbins,57366,HB,BLT,9,105,19,10,38.5,224,0,582,0,3,19,319,57.6,19,29,3,0,72,66.8,75.7,83.7,,59.0,68.5,75.6,44.8,44,0,85,11,85,121,0,0,13,116,2,582,319,3.04,5.5,1.0,28
Gus Edwards,46027,HB,BLT,10,99,19,5,24.6,116,0,472,0,0,19,345,66.2,13,34,3,1,70,63.5,82.7,79.7,,59.5,53.8,81.5,58.4,37,0,13,1,35,132,0,0,2,100,3,472,345,3.48,4.8,0.37,27
D'Andre Swift,57212,HB,DET,14,99,24,8,40.2,218,0,542,4,10,24,307,71.7,13,21,11,1,58,71.7,78.1,88.1,,73.9,66.0,83.2,58.8,50,0,389,48,236,122,0,0,63,147,5,542,307,3.1,5.5,1.65,34
Taysom Hill,12112,TE,NO,16,96,11,5,31.1,179,0,575,2,2,11,362,46.7,17,34,20,1,74,49.1,75.6,61.2,84.7,80.6,52.2,82.9,60.6,60,1,76,9,123,172,0,0,12,105,7,575,362,3.77,6.0,0.62,14
Chuba Hubbard,57373,HB,CAR,15,95,18,4,24.6,115,0,467,1,3,18,260,52.7,10,23,5,1,45,66.4,76.6,83.8,,45.9,59.6,81.8,49.3,35,1,171,14,110,112,0,0,16,109,2,467,260,2.74,4.9,1.55,48
Zack Moss,40341,HB,IND,13,93,24,5,27.2,124,0,456,1,6,24,283,87.8,11,18,14,1,43,64.9,71.1,84.8,,62.3,50.7,74.1,60.1,43,0,39,11,97,108,0,0,12,104,1,456,283,3.04,4.9,0.4,49
Jerick McKinnon,8731,HB,KC,20,92,12,3,21.1,74,0,350,5,10,12,192,30.2,6,15,16,1,20,70.9,57.5,16.5,,28.6,69.9,57.1,46.9,30,3,545,60,395,129,0,0,75,152,1,350,192,2.09,3.8,1.38,69
Joe Burrow,28022,QB,CIN,19,55,6,2,11.0,36,0,66,0,0,2,31,2.0,12,33,7,6,0,75.8,92.0,54.3,91.0,,56.2,78.0,60.0,23,7,0,0,3,428,261,35,0,55,6,327,156,1.73,3.6,0.0,4
Melvin Gordon III,9448,HB,DEN,10,90,15,1,5.3,17,0,318,3,1,15,226,34.9,4,15,10,5,30,22.8,49.1,2.5,,39.9,50.5,52.3,59.5,17,2,223,25,153,101,0,0,30,115,2,318,226,2.51,3.5,1.46,59
Kenneth Gainwell,77737,HB,PHI,20,86,9,3,16.2,68,0,421,3,9,9,233,42.0,14,30,24,0,27,88.1,63.5,90.4,,46.7,58.8,67.3,53.3,35,0,225,30,236,132,0,0,37,116,5,421,233,2.71,4.9,0.95,58
Zonovan Knight,97432,HB,NYJ,7,85,29,3,28.7,86,0,300,1,6,29,233,97.9,7,14,22,2,35,40.6,71.8,82.1,,69.7,54.2,73.3,58.7,48,0,100,13,73,104,0,0,14,98,1,300,233,2.74,3.5,1.37,50
Marcus Mariota,9435,QB,ATL,13,58,11,3,16.7,73,0,249,0,0,8,143,34.0,17,29,2,8,24,46.6,66.3,74.6,62.7,,,70.0,60.0,30,1,0,0,0,403,189,26,0,58,4,438,218,2.6,5.2,,17
Breece Hall,97636,HB,NYJ,7,80,16,8,43.0,199,0,463,5,8,16,330,100.0,15,19,22,1,34,62.9,69.8,85.0,,68.9,48.8,76.4,58.6,62,0,218,19,109,94,0,0,30,99,4,463,330,4.13,5.8,2.0,42
Jaylen Warren,98692,HB,PIT,16,77,19,4,24.5,93,0,379,2,10,19,237,85.0,11,19,25,1,19,63.8,73.8,87.5,,43.4,79.8,73.0,66.5,31,0,214,28,172,109,0,0,32,105,1,379,237,3.08,4.9,1.24,48
Caleb Huntley,57156,HB,ATL,12,76,14,4,22.7,83,0,366,0,0,14,260,61.4,8,18,2,1,24,57.3,86.9,77.7,,39.9,53.4,86.0,58.3,30,0,3,2,29,85,0,0,2,78,1,366,260,3.42,4.8,0.1,52
Eno Benjamin,57136,HB,NO,14,76,17,4,29.2,91,1,312,2,11,17,249,90.8,5,14,20,0,38,87.9,72.2,10.4,,57.5,62.3,81.3,51.0,45,2,193,25,195,106,0,0,30,101,2,312,249,3.28,4.1,0.99,31
Joshua Kelley,13750,HB,LAC,14,75,12,2,12.5,38,0,303,3,2,12,209,42.9,6,16,27,0,35,86.4,62.2,85.4,,50.4,44.3,70.2,60.0,22,0,113,16,148,89,0,0,24,91,2,303,209,2.79,4.0,0.76,39
Alexander Mattison,45817,HB,MIN,18,74,23,1,5.3,15,0,283,2,5,23,204,85.8,9,21,18,0,24,86.1,71.5,86.5,,61.4,43.4,84.2,60.0,15,0,93,16,160,86,0,0,19,90,5,283,204,2.76,3.8,0.58,48
Patrick Mahomes,11765,QB,KC,20,17,9,0,0.0,0,0,4,0,0,0,4,0.0,18,29,16,6,0,81.0,92.0,81.8,90.1,,,89.7,60.3,26,1,6,1,0,424,414,55,1,18,4,418,99,1.38,5.8,,3
Geno Smith,7820,QB,SEA,18,36,5,0,0.0,0,0,59,0,0,1,22,1.7,15,26,29,9,7,76.4,79.3,49.9,75.4,,59.0,83.8,60.6,25,8,0,0,1,419,335,36,0,36,1,394,85,1.18,5.5,0.0,5
Clyde Edwards-Helaire,57279,HB,KC,10,72,11,4,35.1,106,0,302,1,6,11,223,59.2,5,15,16,0,29,86.1,67.6,85.2,,43.7,72.7,65.0,60.0,52,0,151,17,124,79,0,0,22,89,3,302,223,3.1,4.2,1.22,40
Darrell Henderson,41193,HB,JAX,10,70,8,3,20.1,57,0,283,0,1,8,182,26.9,5,14,15,0,19,86.1,57.7,88.4,,61.7,49.6,62.3,56.9,23,0,102,17,200,88,0,0,21,87,3,283,182,2.6,4.0,0.51,49
Boston Scott,39462,HB,PHI,18,69,8,3,20.1,56,0,278,0,4,8,185,42.9,8,16,24,0,26,87.6,64.4,87.6,,60.8,52.5,68.3,53.2,21,0,24,6,102,107,0,0,7,75,5,278,185,2.68,4.0,0.24,41
Elijah Mitchell,57272,HB,SF,7,68,10,3,21.7,72,0,332,0,1,10,188,41.7,9,19,28,0,34,85.0,81.7,0.0,,72.4,83.4,77.8,60.5,37,1,32,5,34,81,0,0,6,73,2,332,188,2.76,4.9,0.94,32
Chase Edmonds,45851,HB,DEN,13,68,7,3,31.0,76,0,245,5,4,7,152,29.3,5,8,10,0,21,85.7,50.8,34.3,,29.3,36.1,62.7,68.5,28,1,157,16,163,91,0,0,23,84,2,245,152,2.24,3.6,0.96,44
Deon Jackson,57189,HB,IND,13,68,8,2,14.0,33,0,236,1,5,8,159,31.0,6,13,14,1,30,61.2,62.9,85.9,,53.1,69.3,60.1,59.4,17,0,209,30,142,75,0,0,34,98,1,236,159,2.34,3.5,1.47,35
Kyler Murray,38334,QB,ARZ,11,43,7,5,27.3,113,0,207,0,0,4,67,14.5,15,23,1,9,20,47.9,67.1,88.4,63.4,,,71.8,60.8,42,1,0,0,0,245,207,25,0,43,3,414,163,2.4,6.1,,6
Trevor Lawrence,77632,QB,JAX,19,38,3,0,0.0,0,0,75,0,0,1,30,2.1,12,30,15,12,7,46.0,78.6,81.2,74.1,,60.0,83.9,60.7,24,6,0,0,1,456,250,27,0,38,5,325,110,1.69,5.0,0.0,9
Mark Ingram II,6180,HB,NO,10,62,14,0,0.0,0,0,233,0,2,14,166,54.9,4,12,20,2,19,29.7,63.3,18.6,,59.0,54.4,66.4,65.4,14,1,68,16,86,79,0,0,16,78,1,233,166,2.68,3.8,0.79,40
Matt Breida,12271,HB,NYG,19,61,11,3,19.9,50,0,251,1,1,11,176,42.2,5,15,21,0,26,85.1,69.5,89.2,,69.4,56.7,77.1,50.5,18,0,137,21,155,121,0,0,25,82,2,251,176,2.89,4.1,0.88,23
Justin Herbert,28237,QB,LAC,18,33,0,0,0.0,0,1,0,1,0,0,8,0.0,7,18,27,9,1,74.0,77.9,81.2,76.7,,60.0,60.2,60.2,23,2,-10,2,1,391,156,24,2,35,0,156,28,0.49,2.7,-10.0,1
Rashaad Penny,27414,HB,SEA,5,57,13,6,50.9,176,0,346,0,1,13,241,97.0,10,14,29,1,16,50.8,70.2,81.2,,43.9,55.6,74.9,55.9,41,0,16,4,73,72,0,0,5,61,2,346,241,4.23,6.1,0.22,37
Dak Prescott,10769,QB,DAL,14,35,6,2,18.0,41,0,108,0,0,3,32,7.8,9,23,9,4,4,83.2,71.8,77.7,68.2,,60.0,74.4,60.3,25,5,0,0,0,418,120,21,0,35,2,228,104,1.86,4.1,,7
Deebo Samuel,48274,WR,SF,16,55,23,5,57.9,154,0,266,5,36,23,213,184.3,7,9,28,4,24,26.7,74.1,90.8,,78.7,81.6,49.3,45.3,51,1,843,69,456,332,0,0,106,124,3,266,213,3.87,4.8,1.85,20
Russell Wilson,7077,QB,DEN,15,27,2,1,5.8,16,0,58,0,0,0,20,0.0,12,21,10,6,1,85.5,66.2,54.6,64.5,,,67.2,60.0,19,4,1,1,0,348,218,28,1,28,3,276,74,1.35,5.0,,10
Kenny Pickett,60515,QB,PIT,13,27,3,0,0.0,0,1,37,0,0,0,13,0.0,8,24,25,4,4,80.5,75.5,18.5,73.0,,57.4,77.5,60.3,23,5,0,0,2,325,198,28,0,27,3,235,72,1.31,4.3,0.0,1
Tyler Huntley,46448,QB,BLT,7,34,2,1,18.7,35,0,88,0,0,2,34,5.9,4,15,3,5,22,56.9,55.3,85.3,57.3,,57.6,51.0,60.3,35,1,0,0,1,159,99,18,0,34,1,187,54,1.04,3.6,0.0,2
JaMycal Hasty,25582,HB,JAX,18,50,10,2,36.5,84,0,230,3,4,10,119,46.9,7,8,15,0,25,84.6,71.5,30.0,,72.0,64.1,77.4,51.7,61,1,133,21,148,75,0,0,28,71,2,230,119,2.38,4.6,0.9,24
Justice Hill,45865,HB,BLT,16,49,13,1,13.0,34,0,262,0,0,13,169,71.2,9,15,3,2,22,29.7,60.8,32.0,,54.7,52.6,68.2,55.4,34,1,68,14,130,90,0,0,14,63,0,262,169,3.45,5.3,0.52,16
Jacoby Brissett,10725,QB,CLV,16,26,6,0,0.0,0,1,44,0,0,0,25,0.0,9,28,8,6,0,59.6,82.6,60.8,75.2,60.9,,91.5,60.4,22,4,0,0,0,337,199,23,0,26,2,243,171,3.49,5.0,,0
Mac Jones,60323,QB,NE,14,27,3,0,0.0,0,0,-13,0,0,1,6,0.8,3,12,19,5,2,90.1,67.5,8.2,68.7,,,56.2,60.1,15,8,0,0,0,305,115,20,0,27,1,102,69,1.47,2.2,,0
Javonte Williams,77803,HB,DEN,4,47,16,3,24.5,50,0,204,1,5,16,164,116.3,7,9,10,1,19,49.7,64.5,7.7,,60.3,68.0,64.3,60.0,17,1,76,16,69,54,0,0,21,63,0,204,164,3.49,4.3,1.1,27
Jordan Mason,62946,HB,SF,11,45,10,3,34.1,92,0,270,0,0,10,190,93.8,7,11,28,0,17,82.2,92.9,78.0,,75.4,52.9,91.0,58.8,55,0,0,0,11,71,0,0,0,45,1,270,190,4.22,6.0,0.0,27
Dare Ogunbowale,12329,HB,HST,14,42,7,0,0.0,0,0,123,0,4,7,89,37.6,1,10,13,0,25,83.8,65.0,83.6,,89.6,67.8,60.2,55.1,11,0,104,20,100,54,0,0,24,62,1,123,89,2.12,2.9,1.04,17
Justin Jackson,29539,HB,DET,13,42,3,2,24.7,42,0,170,4,4,3,133,41.0,6,8,11,0,10,86.6,58.6,19.2,,65.5,47.0,66.9,58.5,27,1,101,12,100,58,0,0,17,54,1,170,133,3.17,4.0,1.01,32
Royce Freeman,45747,HB,HST,4,41,9,0,0.0,0,0,117,0,0,9,97,45.3,1,7,13,1,20,41.0,59.2,80.8,,80.3,61.3,57.0,56.7,11,0,33,6,32,52,0,0,7,47,0,117,97,2.37,2.9,1.03,20
DeeJay Dallas,55632,HB,SEA,15,41,10,3,30.2,60,0,199,0,1,10,120,55.5,4,9,29,0,10,89.2,64.9,87.1,22.2,65.7,67.9,70.0,78.5,27,0,126,17,129,54,0,0,19,58,0,199,120,2.93,4.9,0.98,26
Malik Davis,57196,HB,DAL,9,38,4,3,39.1,63,0,161,0,1,4,78,23.3,4,6,9,0,15,81.5,80.6,77.8,,34.1,90.1,75.0,60.7,23,0,63,6,31,45,0,0,6,44,1,161,78,2.05,4.2,2.03,20
Curtis Samuel,11795,WR,WAS,17,38,9,5,47.6,89,0,187,3,7,9,129,53.3,8,11,32,1,11,61.0,70.5,76.9,,69.2,70.2,67.6,56.6,21,1,655,64,511,303,0,0,87,102,1,187,129,3.39,4.9,1.28,12
Jonathan Williams,10790,HB,WAS,8,37,11,2,27.0,41,0,152,1,0,11,113,76.4,3,6,32,0,16,81.6,62.0,80.5,,81.6,50.3,66.4,60.0,23,0,40,7,52,38,0,0,10,44,0,152,113,3.05,4.1,0.77,20
Sony Michel,27589,HB,LAC,10,36,4,0,0.0,0,0,106,2,2,4,93,34.4,1,8,27,0,17,81.4,58.5,1.9,,72.7,45.5,64.6,60.0,12,1,53,9,61,41,0,0,13,45,0,106,93,2.58,2.9,0.87,18
Deshaun Watson,11767,QB,CLV,6,24,4,1,12.0,21,0,78,0,0,3,30,15.6,5,10,8,1,9,60.9,55.3,58.5,51.6,,,69.6,60.0,21,1,0,0,0,168,97,12,0,24,1,175,73,2.03,4.9,,4
Aaron Rodgers,2241,QB,GB,17,22,2,0,0.0,0,0,-12,0,0,0,2,0.0,4,9,12,8,1,85.6,77.5,68.4,75.9,,,63.5,60.0,18,7,0,0,0,444,102,13,0,22,1,90,17,0.49,2.6,,4
Kyren Williams,97118,HB,LA,8,35,5,1,12.2,17,0,139,0,2,5,100,45.5,1,6,26,0,13,81.2,67.2,82.3,,26.0,61.5,74.8,42.0,17,0,76,9,78,47,0,0,11,44,0,139,100,2.86,4.0,0.97,22
Tyrion Davis-Price,99169,HB,SF,6,34,7,1,20.2,20,0,99,0,0,7,90,54.5,2,5,28,0,10,80.4,53.6,77.6,,,49.3,56.1,58.8,20,0,0,0,28,41,0,0,2,34,0,99,90,2.65,2.9,0.0,24
Ryan Tannehill,7014,QB,TEN,12,21,2,0,0.0,0,0,5,0,0,0,7,0.0,2,12,31,3,0,76.1,74.9,56.0,71.9,,58.0,77.2,61.1,17,3,0,0,2,286,93,13,0,21,2,98,67,1.97,2.9,0.0,2
